"TOWN","ADDR","ADDR_ORI","X","Y","LAT","LONG"
"三民區","覺民路３８號","高雄市三民區寶業里覺民路38號1樓","182521.661","2504460.904","22.63902393388649","120.34349653371675"
"三民區","建興路１５１號","高雄市三民區寶興里建興路151號1樓","180862.57","2504920.725","22.643109460021094","120.32733569896165"
"三民區","鼎祥街７３號","高雄市三民區鼎泰里鼎祥街73號1樓","179688.922","2507475.026","22.66612771429781","120.31580314616245"
"三民區","吉林街１５５號","高雄市三民區達明里吉林街155號、157號1樓","178688.884","2505096.952","22.644610752304654","120.30618026299476"
"三民區","建元路６２號","高雄市三民區建元路62號","179868.474","2505283.948","22.64634867457048","120.31764808123346"
"三民區","明賢街３８號","高雄市三民區鼎泰里明賢街38號1樓及地下室","179332.152","2506990","22.661732840065213","120.31235343708578"
"三民區","澄和路６５號","高雄市三民區本揚里澄和路65號1、2樓","182638.076","2505051.919","22.644365756793672","120.34460376924633"
"三民區","大裕路２５９號","高雄市三民區本和里大裕路259號","180996.81","2506701.06","22.659192265537975","120.32856352796985"
"三民區","九如一路５３０號","高雄市三民區寶安里九如一路530號","180805.329","2504516.203","22.639454079839414","120.3267966108972"
"三民區","民族一路１３號","高雄市三民區同德里民族一路13號、13-1號1樓","179466.23","2504663.87","22.640732361045707","120.31376244129927"
"三民區","建國二路２６５之１號","高雄市三民區建國二路265之1號","178461.93","2504304.72","22.6374469507897","120.3040082886108"
"三民區","建興路７５號","高雄市三民區建興路75號、77號、79號、建武路89號","181034.913","2504841.887","22.64240453797167","120.3290158591318"
"三民區","大豐二路４５７號","高雄市三民區大豐二路457號","181619.506","2505509.94","22.648461109541724","120.33467420181067"
"三民區","鼎華路１８０號","高雄市三民區鼎華路180號、182號、184號、186號","179736.97","2505896.966","22.651879075573365","120.3163412637718"
"三民區","凱歌路８７號","高雄市三民區凱歌路87號","179880.591","2504188.399","22.636455821279338","120.3178148248693"
"三民區","建興路１５１號","高雄市三民區建興路151號","180862.57","2504920.725","22.643109460021094","120.32733569896165"
"三民區","壽昌路９３號","高雄市三民區壽昌路93號1樓","181492.58","2504879.92","22.642766568321107","120.3334667631305"
"三民區","明誠一路５０６號","高雄市三民區鼎西里明誠一路506號1樓","180358.49","2506844.05","22.66045738941729","120.32234633926103"
"三民區","察哈爾一街５０號","高雄市三民區安東里察哈爾一街50號1樓","178746.492","2505419.961","22.64753010112973","120.30672608552099"
"三民區","北平一街１５３號","高雄市三民區安和里北平一街153號、155號、157號1樓","178530.713","2505687.21","22.64993439121159","120.30461459083001"
"三民區","鼎中路５３０號","高雄市三民區鼎力里鼎中路530號1樓","180181.753","2507856.36","22.669591750972","120.32058166476811"
"三民區","陽明路３８５號","高雄市三民區本上里陽明路385號1樓","182401.059","2505107.923","22.6448620598238","120.34229542641044"
"三民區","有光路１２３號","高雄市三民區寶盛里有光路123號1樓","181309.069","2504267.908","22.637232344998182","120.33170814694138"
"三民區","九如二路１３８號","高雄市三民區德仁里九如二路138號1樓","179015.904","2504690.938","22.64095798765655","120.30938014893934"
"三民區","大裕路３８號","高雄市三民區本館里大裕路38號1樓","181018.133","2506137.818","22.654106776084614","120.32879573253904"
"三民區","自立一路７１號","高雄市三民區興德里自立一路71號1樓","177713.1","2504181.93","22.63630631593781","120.29672900763885"
"三民區","天祥一路３８號","高雄市三民區鼎金里天祥一路38號1樓","180505.274","2507520.974","22.66657637615457","120.32374460297878"
"三民區","興昌街３４號","高雄市三民區正興里興昌街34號1樓","179959.18","2505295.948","22.64646079440598","120.3185300319039"
"三民區","十全一路１００號","高雄市三民區安生里十全一路100號1樓","179081.91","2505157.95","22.645178096319846","120.31000123421772"
"三民區","大昌一路１８６號","高雄市三民區本和里大昌一路186號、188號","180613.349","2506229.554","22.654918655086924","120.32485327979225"
"三民區","覺民路５１０號","高雄市三民區覺民路510號1樓","181276.971","2504675.92","22.640915607051436","120.3313780520724"
"三民區","九如一路２８６號","高雄市三民區九如一路286號1樓","181653.996","2504366.908","22.63814031745655","120.3350594540568"
"三民區","力行路１５４號","高雄市三民區力行路154號1樓","176752.134","2504427.949","22.63848670640093","120.28736897323161"
"三民區","自由一路１號","高雄市三民區自由一路1號1樓","178905.18","2504712.12","22.64114462789653","120.3083019933977"
"三民區","金鼎路３５８號","高雄市三民區鼎中里金鼎路358號1樓","180072.911","2507372.005","22.665213299987467","120.31954412652674"
"三民區","陽明路３６０號","高雄市三民區陽明路360號1樓","182448.663","2505136.923","22.645125844926614","120.34275732041345"
"三民區","建國二路２５９號","高雄市三民區建國二路259號1樓","178483.961","2504304.932","22.637449795346654","120.30422260575035"
"三民區","九如二路４０６號","高雄市三民區精華里九如二路406號1樓","178126.539","2504764.948","22.641588830882228","120.30072443092573"
"三民區","九如二路５５８號","高雄市三民區九如二路558號1樓","177643.4","2504805.556","22.641934970933505","120.296022249212"
"三民區","陽明路１９６號","高雄市三民區陽明路196號1樓","182390.955","2504821.915","22.6422788490808","120.34220942396982"
"三民區","凱旋一路１３４號","高雄市三民區博惠里凱旋一路134號1樓","179994.671","2504197.917","22.63654649098779","120.31892421454886"
"三民區","大豐二路４５７號","高雄市三民區寶玉里大豐二路457號1樓","181619.506","2505509.94","22.648461109541724","120.33467420181067"
"三民區","建國三路１１５號","高雄市三民區港西里建國三路115號","177992.873","2504331.302","22.637667128303235","120.29944389157404"
"三民區","熱河二街１５８號","高雄市三民區民享里熱河二街158號及嫩江街121號","177878.42","2505085.95","22.644477080817076","120.29829583037474"
"三民區","灣復街２４號","高雄市三民區灣復里灣復街24號1樓及鼎山街566之15號1樓","179808.576","2505932.967","22.652207152312762","120.31703634343076"
"三民區","臥龍路７１號","高雄市三民區臥龍路71號1樓","181115.257","2504496.916","22.63929253879421","120.3298126241371"
"三民區","鼎力路３８２號","高雄市三民區鼎金里鼎力路382號1樓","180704.463","2507838.013","22.669447562262235","120.32566882079831"
"三民區","覺民路２１５號","高雄市三民區寶慶里覺民路215號1樓","182091.83","2504504.908","22.6394041386844","120.33931297798158"
"三民區","熱河二街１８號","高雄市三民區民享里熱河二街18號1樓","178251.451","2505053.955","22.644203994800716","120.30192647389906"
"三民區","建興路２７４號","高雄市三民區寶龍里建興路274號1樓","180523.021","2505196.94","22.645589927912823","120.32402006706366"
"三民區","鼎貴路２０８號","高雄市三民區鼎盛里鼎貴路208號1樓","180353.743","2508423.032","22.674716157439008","120.32223010716048"
"三民區","民族一路７９６號","高雄市三民區鼎泰里民族一路796號1樓","179804.192","2507475.01","22.66613235630054","120.31692477749938"
"三民區","博愛一路１５４號","高雄市三民區安和里博愛一路154號1樓","178408.165","2505211.958","22.6456374674363","120.30344393176723"
"三民區","大豐二路３４１號","高雄市三民區大豐二路341號1樓","181543.198","2505289.935","22.646471266101447","120.3339413636967"
"三民區","九如一路５１５號","高雄市三民區寶盛里九如一路515號1樓","180900.94","2504460.91","22.63895865778716","120.32772920235033"
"三民區","建國二路２０８號","高雄市三民區建國二路208號1樓","178717.23","2504332.41","22.637707765430907","120.30649069938595"
"三民區","民族一路７６號","高雄市三民區民族一路76號1樓","179554.146","2504876.939","22.642660137629765","120.31460820078435"
"三民區","裕誠路１２３號","高雄市三民區裕誠路123號1樓","179390.159","2507207.006","22.66369492687996","120.31290809685308"
"三民區","建國三路５３５號","高雄市三民區建國三路535號1樓","176804.13","2504032.93","22.634921755344287","120.28789319807275"
"三民區","明仁路２３號","高雄市三民區明仁路23號1樓","179478.63","2506891.29","22.660847552985988","120.31378312187483"
"三民區","建元路６２號","高雄市三民區正興里建元路62號1樓","179868.474","2505283.948","22.64634867457048","120.31764808123346"
"三民區","建工路４６０號","高雄市三民區建工路460號1樓","180871.254","2505858.956","22.651582519940284","120.32737892090071"
"三民區","鼎力路１００號","高雄市三民區鼎西里鼎力路100號1樓","180326.11","2507316.54","22.66472286997652","120.32201031738619"
"三民區","鼎中路１３９號","高雄市三民區鼎泰里鼎中路139號1樓","180019.651","2507027.858","22.662103286344045","120.31904122127665"
"三民區","大昌二路３４６號","高雄市三民區大昌二路346號1樓","181357.185","2505444.941","22.64786352140289","120.33212485318133"
"三民區","建工路５８２號","高雄市三民區建工路582號1樓","180496.337","2505668.892","22.649850797389544","120.3237395880656"
"三民區","建國二路３１８號","高雄市三民區建國二路318號1樓","178308.32","2504400.89","22.63830891853315","120.3025095225863"
"三民區","九如一路２２７號","高雄市三民區寶民里九如一路227號1樓","181997.42","2504248.902","22.637088478727634","120.33840556849673"
"三民區","建國二路２８號","高雄市三民區建國二路28號","179307.122","2504313.926","22.6375655622022","120.31223026399488"
"三民區","正興路１１７號","高雄市三民區正興路117號","180127.89","2505239.94","22.645961983444998","120.32017391529094"
"三民區","興昌街八三巷一五號","高雄市三民區興昌街八三巷15號1樓","179904.709","2505247.724","22.646023054102418","120.31800222950329"
"三民區","臥龍路６２號","高雄市三民區臥龍路62號1樓","181151.707","2504514.073","22.639448957246064","120.33016648046494"
"三民區","黃興路１４９號","高雄市三民區黃興路149號1樓","182241.049","2505305.93","22.646643775299108","120.34073015158367"
"三民區","建工路３０４號","高雄市三民區建工路304號","181302.28","2506080.95","22.653604783725676","120.33156286835398"
"三民區","十全二路１１６號","高雄市三民區十全二路116號1樓","178048.838","2505240.962","22.64588415906737","120.29994671566453"
"三民區","義華路１７１號","高雄市三民區義華路171號1樓","182195.541","2504867.918","22.642686469875322","120.34030628988286"
"三民區","明哲路２４號","高雄市三民區明哲路24號1樓","179433.259","2506958.999","22.661457105725194","120.31333861598628"
"三民區","九如一路４９８號","高雄市三民區九如一路498號1樓","180950.835","2504506.573","22.63937305286998","120.32821260448128"
"三民區","民族一路五四三巷二五號","高雄市三民區民族一路五四三巷25號1樓","179586.54","2507481.978","22.66618623618862","120.314806610257"
